viewer_id,category,device_type,time_of_day,country,upload_day_of_week,watch_time_ratio,sentiment_score,likes_ratio,comment_count,shares,replay_count,video_length_min,subscriber_before,notification_clicked,commented,shared,session_depth,random_noise,thumbnail_hue,recommended
V00017,Vlogs,Mobile,Morning,IN,Sun,0.6755,-0.0528,0.0615,8,0,0,8,0,0,1,0,4,-0.3936,233,0
V00018,Vlogs,Mobile,Afternoon,CA,Sun,0.6722,0.1271,0.25,14,0,1,8,0,0,1,0,1,-0.3681,107,1
V00019,Education,Mobile,Evening,CA,Tue,0.6977,0.4491,0.25,17,2,1,5,0,0,1,1,4,0.4337,126,1
V00020,Music,Mobile,Evening,IN,Thu,0.6302,0.4897,0.25,4,0,1,10,1,1,1,0,6,1.5298,133,1
V00021,Gaming,Mobile,Night,CA,Fri,0.339,0.5,0.0911,4,0,2,30,0,0,1,0,8,0.387,345,0
V00022,Education,Mobile,Night,PH,Sat,0.5102,-0.3235,0.0757,7,2,0,15,0,0,1,1,3,-0.596,194,1
V00023,Education,Mobile,Night,UK,Fri,0.7487,0.2775,0.25,8,3,0,5,0,1,1,1,3,2.4044,298,1
V00024,Vlogs,Mobile,Evening,UK,Fri,0.1974,0.2052,0.2493,7,1,0,45,0,1,1,1,5,0.2333,35,1
V00025,Tech Reviews,Mobile,Evening,AU,Wed,0.6511,-0.3022,0.25,12,4,0,15,0,0,1,1,6,-0.2334,54,0
V00026,Gaming,Tablet,Morning,IN,Mon,0.2554,0.2861,0.0911,7,3,1,12,0,0,1,1,1,0.6213,247,0
V00027,Vlogs,Desktop,Night,US,Mon,0.9202,0.1848,0.25,2,0,1,20,0,0,1,0,3,-1.0389,136,1
V00028,Vlogs,Tablet,Afternoon,PH,Thu,0.5708,0.4744,0.25,7,0,2,15,1,0,1,0,3,0.8112,119,1
V00029,Gaming,Mobile,Afternoon,US,Sun,0.8865,0.3109,0.1694,3,2,2,30,0,0,1,1,10,-1.0427,182,1
V00030,Music,Mobile,Evening,CA,Fri,0.8369,0.0713,0.0815,12,3,1,20,1,0,1,1,2,0.6601,171,1
V00031,Gaming,Desktop,Afternoon,AU,Sat,0.6206,0.6318,0.25,4,2,0,15,0,0,1,1,3,1.5939,211,1
V00032,Gaming,Mobile,Evening,BR,Wed,0.4753,-0.5641,0.1309,19,0,3,10,1,0,1,0,6,-0.8819,356,1
V00033,Comedy,Mobile,Evening,US,Sun,0.4886,0.2556,0.1905,1,0,0,60,1,0,1,0,4,0.1217,142,1
V00034,Comedy,Mobile,Evening,IN,Mon,0.5201,-0.39,0.0721,8,1,0,15,1,0,1,1,2,0.3547,142,1
V00035,Tech Reviews,Mobile,Night,UK,Thu,0.8027,-0.0666,0.1988,13,11,0,12,1,0,1,1,1,0.9543,100,0
V00036,Education,Mobile,Afternoon,UK,Fri,0.6889,0.4794,0.2078,12,0,0,8,1,1,1,0,5,0.5166,47,0
V00037,Gaming,Mobile,Evening,US,Sun,0.9375,-0.2042,0.1345,7,0,0,15,0,1,1,0,2,0.0874,84,0
V00038,Music,Desktop,Evening,IN,Fri,0.7167,-0.261,0.25,9,0,0,15,1,1,1,0,4,1.3558,231,1
V00039,Vlogs,Mobile,Evening,IN,Tue,0.1466,1.0,0.165,2,1,0,10,1,1,1,1,2,0.2261,199,1
V00040,Gaming,Mobile,Night,US,Fri,0.1838,-0.2365,0.25,2,2,0,5,0,0,1,1,1,-0.6556,277,1
V00041,Vlogs,TV,Afternoon,IN,Thu,0.5129,0.9072,0.25,3,0,1,20,0,1,1,0,5,-1.0971,302,1
V00042,Gaming,Mobile,Evening,CA,Sat,0.3541,0.2146,0.0651,17,2,0,15,1,0,1,1,5,1.1849,252,0
V00043,Comedy,Mobile,Afternoon,AU,Thu,0.5067,0.0806,0.2184,0,2,0,15,0,0,0,1,3,1.4614,229,0
V00044,Education,TV,Night,NG,Thu,0.687,0.4954,0.128,20,1,0,10,0,0,1,1,5,0.1742,5,1
V00045,Music,Mobile,Afternoon,UK,Thu,0.5949,0.7879,0.25,8,0,1,8,1,0,1,0,6,-1.4733,50,1
V00046,Education,Mobile,Evening,BR,Sun,0.7982,-0.1555,0.076,4,1,0,12,0,0,1,1,4,-0.5473,157,0
V00047,Vlogs,Mobile,Morning,PH,Mon,0.5471,0.0861,0.25,8,2,1,10,0,0,1,1,8,1.3461,0,1
V00048,Vlogs,Mobile,Afternoon,US,Thu,0.5248,0.6018,0.0852,7,0,1,20,1,1,1,0,4,0.5497,31,1
V00049,Gaming,Desktop,Evening,US,Fri,0.6119,0.3894,0.1373,6,0,0,15,0,1,1,0,3,-1.499,341,1
V00050,Comedy,TV,Night,UK,Sun,0.6914,0.6987,0.1561,7,2,0,8,0,1,1,1,3,0.5029,247,1
V00051,Tech Reviews,Mobile,Evening,UK,Wed,0.4652,0.4757,0.1679,2,2,1,8,0,0,1,1,8,-0.0508,127,1
V00052,Comedy,Desktop,Night,IN,Wed,0.5585,0.9671,0.0854,8,0,2,30,1,1,1,0,4,0.886,240,1
V00053,Tech Reviews,Mobile,Evening,IN,Fri,0.4262,0.3479,0.206,10,0,1,15,0,0,1,0,1,-0.4382,55,1
V00054,Vlogs,Mobile,Evening,CA,Tue,0.7278,0.3643,0.25,6,0,2,12,1,1,1,0,3,1.3292,76,1
V00055,Comedy,Desktop,Morning,IN,Thu,0.7453,0.4023,0.25,3,1,1,20,1,1,1,1,6,-0.2484,238,1
V00056,Gaming,Mobile,Night,US,Sun,0.7697,0.2259,0.25,4,0,1,20,0,0,1,0,4,-2.9591,299,1
V00057,Gaming,Mobile,Afternoon,PH,Sun,0.4436,0.6023,0.25,4,2,0,5,1,0,1,1,1,-0.6211,164,1
V00058,Gaming,Mobile,Night,UK,Tue,0.327,0.3701,0.25,5,0,0,30,0,0,1,0,3,0.2515,258,0
V00059,Education,Mobile,Night,BR,Sun,0.473,0.5795,0.25,1,1,2,45,0,1,1,1,2,0.1357,69,1
V00060,Education,Mobile,Night,US,Sat,0.718,0.6389,0.25,8,0,1,5,0,0,1,0,5,-0.4842,1,1
V00061,Education,TV,Evening,BR,Mon,0.6374,0.4428,0.0248,0,1,0,10,0,1,0,1,3,-1.5571,20,1
V00062,Tech Reviews,Mobile,Evening,US,Thu,0.4602,0.4707,0.0723,2,5,0,8,1,0,1,1,3,1.1522,250,1
V00063,Education,Mobile,Night,US,Mon,0.3375,-0.1039,0.1271,1,0,0,12,1,1,1,0,6,1.6309,340,1
V00064,Education,Mobile,Morning,US,Tue,0.7266,0.0709,0.0272,18,0,0,8,0,0,1,0,3,-0.9464,174,1
V00065,Vlogs,Desktop,Evening,CA,Wed,0.6456,0.6005,0.1896,2,1,1,10,1,0,1,1,5,0.8713,30,1
V00066,Gaming,Desktop,Morning,PH,Tue,0.6634,0.821,0.1269,17,0,0,10,0,0,1,0,2,0.6221,135,0
V00067,Tech Reviews,Desktop,Evening,UK,Thu,0.993,-0.4574,0.2273,15,1,0,3,1,1,1,1,4,-1.2509,219,1
V00068,Gaming,Desktop,Afternoon,NG,Wed,0.4614,0.0642,0.25,7,1,2,3,0,0,1,1,2,0.3731,41,1
V00069,Comedy,TV,Afternoon,IN,Wed,0.4984,0.289,0.0812,2,0,3,12,1,0,1,0,5,2.8461,159,1
V00070,Tech Reviews,Mobile,Afternoon,IN,Thu,0.829,-0.0541,0.25,12,0,4,12,0,0,1,0,4,-1.324,15,1
V00071,Gaming,Mobile,Evening,PH,Wed,0.5771,-0.0326,0.25,6,0,0,3,1,1,1,0,4,1.3517,164,1
V00072,Gaming,TV,Evening,US,Fri,0.4459,0.4605,0.2244,4,0,1,15,0,0,1,0,4,-0.0402,222,0
V00073,Tech Reviews,Tablet,Morning,UK,Wed,0.4925,0.8809,0.25,1,5,1,3,0,0,1,1,4,-0.2789,37,1
V00074,Music,TV,Evening,NG,Thu,0.3459,-0.4921,0.0983,10,0,2,12,0,1,1,0,3,1.2722,10,0
V00075,Music,Mobile,Afternoon,NG,Sat,0.6293,0.2152,0.1782,10,0,0,12,0,0,1,0,5,-0.6234,109,1
V00076,Tech Reviews,Mobile,Evening,BR,Wed,0.6593,0.456,0.1723,4,1,0,30,1,0,1,1,2,0.0896,320,1
V00077,Gaming,Mobile,Evening,NG,Mon,0.7071,0.5765,0.25,6,0,0,15,1,0,1,0,3,-0.1306,52,1
V00078,Education,Desktop,Evening,US,Sat,0.6813,0.4013,0.0954,9,4,0,20,0,0,1,1,2,-0.9748,358,1
V00079,Gaming,Mobile,Evening,AU,Mon,0.8858,0.9493,0.25,7,2,0,60,1,1,1,1,2,1.2405,181,1
V00080,Tech Reviews,Mobile,Afternoon,UK,Tue,0.439,0.291,0.25,10,0,0,8,0,0,1,0,4,0.4744,282,1
V00081,Music,TV,Night,BR,Wed,0.5368,0.7786,0.25,9,2,0,5,0,0,1,1,5,2.2707,144,1
V00082,Education,Mobile,Evening,IN,Tue,0.6663,0.0344,0.1627,6,2,0,20,0,1,1,1,2,0.1523,78,1
V00083,Gaming,TV,Evening,IN,Wed,0.6699,0.302,0.25,4,0,3,15,0,0,1,0,4,-0.1083,1,1
V00084,Education,Mobile,Evening,IN,Tue,0.9582,-0.1808,0.25,13,1,0,15,1,0,1,1,9,-0.3314,13,1
V00085,Education,Mobile,Morning,UK,Sat,0.6011,0.6223,0.25,6,0,0,10,0,0,1,0,2,-0.2841,124,1
V00086,Music,Mobile,Evening,US,Wed,0.7914,0.2342,0.25,13,1,0,5,1,0,1,1,3,1.5201,37,1
V00087,Music,Desktop,Evening,PH,Thu,0.5106,0.416,0.25,12,1,1,20,1,0,1,1,1,-0.5638,119,0
V00088,Tech Reviews,Mobile,Afternoon,AU,Sun,0.7285,0.1609,0.25,10,1,0,15,0,0,1,1,5,0.4567,255,1
V00089,Vlogs,Mobile,Morning,US,Fri,0.6554,0.5028,0.0337,7,8,2,12,0,1,1,1,2,-0.347,250,1
V00090,Gaming,Tablet,Morning,AU,Tue,0.8868,0.431,0.25,15,0,1,20,0,0,1,0,5,-1.2985,164,1
V00091,Music,Mobile,Night,IN,Fri,0.7501,-0.098,0.25,16,8,0,60,1,0,1,1,2,0.3256,343,1
V00092,Tech Reviews,Desktop,Evening,UK,Wed,0.6084,-0.076,0.0621,5,3,0,20,0,0,1,1,2,-1.5466,95,0
V00093,Vlogs,Desktop,Morning,US,Tue,0.6454,0.2694,0.25,9,1,1,30,0,1,1,1,4,0.2471,189,1
V00094,Tech Reviews,Mobile,Afternoon,PH,Tue,0.6791,0.5306,0.0265,2,6,0,12,1,0,1,1,5,-0.4555,21,1
V00095,Vlogs,Desktop,Evening,CA,Sun,0.4686,0.9879,0.1403,6,0,1,30,1,1,1,0,5,-0.3912,139,1
V00096,Vlogs,Mobile,Night,IN,Fri,0.463,0.3951,0.25,3,0,0,20,1,0,1,0,1,-0.126,202,1
V00097,Vlogs,Desktop,Morning,IN,Thu,0.6073,0.6629,0.1108,7,3,1,10,0,0,1,1,3,0.0227,92,1
V00098,Gaming,Mobile,Afternoon,US,Fri,0.6489,-0.3329,0.1575,8,1,1,12,1,1,1,1,5,-0.205,130,1
V00099,Gaming,Desktop,Night,IN,Sun,0.7373,1.0,0.25,7,0,0,8,0,0,1,0,1,0.5246,67,1
V00100,Gaming,Mobile,Morning,US,Wed,0.2617,0.5102,0.2077,2,0,1,5,0,0,1,0,5,0.0071,274,0
V00101,Music,Desktop,Afternoon,US,Thu,0.5295,0.2612,0.25,6,0,0,12,1,0,1,0,7,2.8039,34,1
V00102,Education,Mobile,Night,CA,Fri,0.6086,0.2174,0.2231,16,0,2,60,1,0,1,0,7,-1.1012,329,1
V00103,Vlogs,Mobile,Evening,NG,Mon,0.741,-0.1407,0.1453,5,0,0,30,0,0,1,0,4,-1.1253,9,0
V00104,Comedy,Mobile,Afternoon,UK,Mon,0.6729,-0.0321,0.138,2,0,2,3,0,1,1,0,1,-0.3854,208,1
V00105,Education,Mobile,Morning,US,Mon,0.5467,1.0,0.1426,5,2,1,45,1,0,1,1,5,-0.8645,214,1
V00106,Vlogs,TV,Morning,IN,Wed,0.5673,-0.0958,0.0642,4,0,1,12,1,0,1,0,7,1.1994,12,1
V00107,Tech Reviews,Mobile,Afternoon,PH,Wed,0.6926,-0.1031,0.2213,2,0,0,8,1,0,1,0,1,1.7492,14,1
V00108,Education,Tablet,Night,CA,Fri,0.4869,0.0132,0.1479,9,9,1,30,0,0,1,1,4,-0.4012,135,0
V00109,Gaming,Tablet,Evening,PH,Tue,0.4116,-0.1753,0.1653,12,0,1,30,1,0,1,0,2,0.5149,198,0
V00110,Education,Desktop,Evening,IN,Thu,0.7344,0.2858,0.25,19,0,1,30,0,0,1,0,5,0.4098,152,0
V00111,Gaming,Mobile,Night,AU,Fri,0.7764,0.6938,0.2379,0,0,0,15,0,0,0,0,4,-0.4555,320,1
V00112,Comedy,Mobile,Evening,US,Sat,0.5657,0.048,0.0129,7,1,0,8,1,1,1,1,1,0.6177,59,0
V00113,Tech Reviews,Desktop,Afternoon,UK,Mon,0.8587,-0.2419,0.25,18,0,0,10,0,0,1,0,2,0.8296,61,1
V00114,Music,Mobile,Evening,UK,Wed,0.5681,0.3909,0.2194,3,0,2,45,1,0,1,0,5,-1.6685,40,1
V00115,Tech Reviews,Mobile,Night,IN,Sun,0.8104,0.2588,0.1916,12,0,1,10,0,0,1,0,1,-1.1802,156,1
V00116,Tech Reviews,Desktop,Night,NG,Mon,0.3469,0.661,0.2384,10,2,1,12,1,1,1,1,5,-0.2921,258,1
V00117,Gaming,TV,Morning,PH,Wed,0.7371,0.1073,0.0802,4,1,0,20,1,0,1,1,3,-0.3208,155,1
V00118,Tech Reviews,Desktop,Evening,US,Tue,0.5871,0.1811,0.198,7,0,0,20,0,0,1,0,6,0.078,342,1
V00119,Vlogs,Mobile,Evening,US,Sat,0.5103,0.2232,0.1214,4,1,1,12,1,0,1,1,3,-0.9189,334,1
V00120,Tech Reviews,Desktop,Night,UK,Fri,0.3497,0.3138,0.0555,7,1,1,12,0,0,1,1,4,-1.0399,49,0
V00121,Tech Reviews,Mobile,Morning,US,Fri,0.4773,0.1308,0.0728,15,0,0,10,0,0,1,0,7,-0.3613,71,1
V00122,Education,Mobile,Evening,IN,Sun,0.471,0.0692,0.1097,10,0,0,12,1,0,1,0,3,-1.1674,21,0
V00123,Gaming,TV,Night,NG,Wed,0.6743,-0.4231,0.0495,4,1,1,20,0,0,1,1,7,1.1956,152,0
V00124,Education,Mobile,Evening,BR,Mon,0.6542,0.0652,0.25,10,1,1,5,1,0,1,1,4,1.0404,164,1
V00125,Vlogs,Mobile,Evening,CA,Thu,0.7778,0.5518,0.1821,5,0,0,20,1,1,1,0,3,0.6104,9,1
V00126,Tech Reviews,Mobile,Morning,PH,Mon,0.6271,0.6031,0.1089,13,0,0,8,0,0,1,0,1,1.0196,207,1
V00127,Tech Reviews,TV,Afternoon,IN,Wed,0.8272,0.101,0.0342,1,0,0,8,1,0,1,0,4,-0.4287,45,0
V00128,Gaming,Desktop,Afternoon,US,Fri,0.4305,0.7738,0.0728,4,3,0,8,0,0,1,1,2,-0.4387,154,1
V00129,Vlogs,Desktop,Night,IN,Thu,0.9803,0.2691,0.1531,6,0,0,8,0,0,1,0,4,0.4018,145,1
V00130,Vlogs,Desktop,Afternoon,IN,Sat,0.4035,-0.2284,0.1961,4,3,1,20,0,1,1,1,4,0.7756,274,1
V00131,Education,Mobile,Evening,CA,Fri,0.8761,-0.3479,0.1264,9,1,1,15,0,1,1,1,4,0.3614,65,1
V00132,Gaming,Mobile,Evening,US,Fri,0.8344,0.7429,0.0454,6,0,0,10,0,0,1,0,5,0.2927,270,1
V00133,Education,Mobile,Afternoon,UK,Wed,0.7967,0.1383,0.1802,3,0,0,8,0,1,1,0,5,0.3509,300,1
V00134,Comedy,Mobile,Evening,UK,Wed,0.3242,-0.1813,0.2225,2,1,1,20,0,0,1,1,5,0.973,318,1
V00135,Education,Mobile,Evening,BR,Wed,0.4654,-0.5785,0.25,0,1,0,12,0,0,0,1,2,1.0907,107,0
V00136,Vlogs,Tablet,Night,UK,Mon,0.875,0.1296,0.25,8,1,1,8,1,0,1,1,2,-0.2338,290,0
V00137,Music,Mobile,Evening,AU,Sat,0.6093,0.4338,0.2117,1,0,1,10,0,0,1,0,6,0.6267,37,1
V00138,Education,Mobile,Evening,AU,Wed,0.6232,0.0149,0.25,4,3,1,12,0,1,1,1,3,-2.1182,138,1
V00139,Comedy,Mobile,Morning,US,Tue,0.8205,-0.1202,0.25,11,0,0,10,0,0,1,0,3,-1.6586,0,1
V00140,Comedy,Mobile,Night,IN,Sun,0.1917,0.0712,0.25,2,0,0,10,0,0,1,0,3,-0.351,55,1
V00141,Education,TV,Morning,PH,Mon,0.7216,0.7524,0.25,11,0,0,10,0,1,1,0,5,-0.6369,276,0
V00142,Vlogs,Mobile,Night,IN,Sat,0.7833,-0.2493,0.0659,9,3,1,20,0,0,1,1,5,1.7529,245,0
V00143,Education,Mobile,Afternoon,NG,Fri,0.582,0.0362,0.0696,9,0,0,45,0,0,1,0,8,-0.2961,26,0
V00144,Education,Desktop,Night,US,Sun,0.4809,0.7401,0.25,5,2,0,3,0,0,1,1,3,0.3716,337,1
V00145,Gaming,Mobile,Evening,US,Thu,0.5128,0.4678,0.2482,6,4,0,15,0,0,1,1,5,0.2108,224,1
V00146,Music,Mobile,Night,PH,Mon,0.5371,0.3481,0.25,6,3,0,5,0,0,1,1,2,-1.4056,83,1
V00147,Vlogs,Mobile,Afternoon,PH,Wed,0.7423,0.0336,0.1351,5,1,1,8,0,0,1,1,3,0.29,156,0
V00148,Gaming,Desktop,Evening,BR,Sat,0.6841,0.2916,0.1031,14,2,1,15,1,0,1,1,5,0.0332,12,1
V00149,Education,Tablet,Evening,CA,Sat,0.1309,0.0756,0.25,1,0,0,20,0,0,1,0,1,1.5649,106,0
V00150,Comedy,Desktop,Night,NG,Tue,0.5388,-0.0466,0.0587,11,0,2,12,1,0,1,0,1,-0.5536,181,1
V00151,Education,Mobile,Morning,AU,Mon,0.4432,-0.1304,0.25,8,0,2,30,0,0,1,0,2,0.6223,176,0
V00152,Gaming,TV,Night,PH,Thu,0.7493,0.578,0.1335,13,4,1,20,0,0,1,1,7,0.5798,166,0
V00153,Vlogs,Mobile,Night,IN,Mon,0.536,0.257,0.0351,2,0,1,8,1,0,1,0,4,-0.8455,102,1
V00154,Comedy,Mobile,Afternoon,UK,Fri,0.6169,0.3995,0.2483,4,0,2,15,0,1,1,0,3,-2.3464,225,1
V00155,Education,Mobile,Night,NG,Sat,0.5689,0.3376,0.0377,4,4,1,10,0,1,1,1,6,0.0361,342,1
V00156,Music,Mobile,Evening,UK,Wed,0.7981,0.4475,0.25,11,0,0,20,1,1,1,0,4,1.2475,204,1
V00157,Tech Reviews,Mobile,Evening,IN,Mon,0.4926,0.1832,0.25,5,0,0,8,0,0,1,0,3,0.3103,321,0
V00158,Education,Desktop,Afternoon,UK,Tue,0.6607,0.097,0.0183,5,0,1,8,1,0,1,0,5,0.9141,67,0
V00159,Music,TV,Evening,IN,Wed,0.8469,-0.0298,0.25,8,3,3,15,1,0,1,1,4,-0.6332,177,1
V00160,Education,Mobile,Evening,IN,Thu,0.7427,-0.2573,0.1878,10,3,1,15,0,1,1,1,1,0.7702,230,0
V00161,Music,Mobile,Evening,US,Sun,0.4993,-0.1464,0.25,1,2,0,15,0,0,1,1,4,-1.801,105,1
V00162,Music,Mobile,Evening,PH,Sat,0.6459,0.1411,0.2268,12,1,2,10,1,0,1,1,4,0.5783,330,0
V00163,Vlogs,Mobile,Evening,UK,Sun,0.5529,-0.3292,0.25,16,2,1,8,0,0,1,1,1,-1.6589,223,1
V00164,Gaming,Desktop,Evening,IN,Wed,0.6943,-0.2453,0.0363,6,0,0,30,0,0,1,0,1,0.5974,280,0
V00165,Tech Reviews,Mobile,Morning,US,Mon,1.0,0.676,0.2079,12,2,0,15,1,0,1,1,2,-0.5594,52,1
V00166,Education,TV,Night,US,Fri,0.4457,0.3652,0.0837,5,0,0,12,0,0,1,0,2,0.8472,324,1
V00167,Gaming,Mobile,Evening,US,Wed,0.3043,0.1083,0.25,2,1,2,20,1,0,1,1,1,-0.0394,142,1
V00168,Gaming,Mobile,Afternoon,CA,Mon,0.4951,1.0,0.1652,14,1,0,5,0,1,1,1,5,1.0983,245,1
V00169,Vlogs,Mobile,Afternoon,US,Mon,0.4963,-0.3463,0.25,4,1,2,15,0,0,1,1,2,0.4352,285,1
V00170,Music,Mobile,Evening,NG,Fri,0.6378,0.6507,0.0527,11,1,0,8,0,0,1,1,4,0.089,195,1
V00171,Gaming,Mobile,Night,US,Mon,0.8219,0.2376,0.197,2,0,1,8,0,1,1,0,3,1.1852,71,1
V00172,Vlogs,Desktop,Afternoon,US,Thu,0.7613,0.5783,0.193,2,1,0,15,0,0,1,1,1,0.4477,247,1
V00173,Education,Mobile,Evening,US,Sun,0.2327,0.3214,0.1286,1,1,1,10,1,0,1,1,4,1.7386,272,1
V00174,Music,Desktop,Morning,US,Fri,0.464,-0.4315,0.1519,10,0,1,20,1,0,1,0,3,-0.0332,74,1
V00175,Gaming,Mobile,Evening,AU,Thu,0.1689,0.3163,0.25,2,1,0,12,0,1,1,1,4,-0.2099,261,1
V00176,Music,Mobile,Night,PH,Sun,0.8833,0.4075,0.25,5,0,0,10,0,1,1,0,5,-0.8982,222,1
V00177,Education,Mobile,Night,IN,Sun,0.4041,-0.553,0.25,8,0,1,30,0,0,1,0,4,-0.5566,11,1
V00178,Comedy,TV,Afternoon,US,Sat,0.7429,1.0,0.25,7,0,0,15,0,1,1,0,2,-0.2385,165,1
V00179,Gaming,Mobile,Evening,US,Thu,0.8753,0.3983,0.0582,12,1,1,12,0,0,1,1,2,-0.6909,346,0
V00180,Education,Desktop,Afternoon,IN,Mon,0.4322,0.5354,0.25,6,0,1,12,0,0,1,0,3,0.6388,249,1
V00181,Gaming,Mobile,Evening,BR,Wed,0.5186,-0.1629,0.25,2,2,0,10,0,0,1,1,2,-1.256,4,1
V00182,Comedy,Desktop,Night,US,Thu,0.4835,0.5424,0.0919,9,0,0,5,1,0,1,0,4,-0.8662,92,1
V00183,Tech Reviews,Mobile,Night,CA,Thu,0.8723,0.694,0.2261,4,1,1,10,0,0,1,1,3,-2.1327,349,1
V00184,Education,Desktop,Afternoon,UK,Wed,0.3376,0.3764,0.0311,14,0,2,10,1,0,1,0,4,-0.6903,332,1
V00185,Music,Desktop,Night,US,Tue,0.8585,0.2764,0.25,1,0,1,10,0,1,1,0,1,1.2174,140,1
V00186,Tech Reviews,Tablet,Evening,IN,Tue,0.5624,-0.0596,0.1806,2,0,0,12,0,1,1,0,3,-0.5149,251,1
V00187,Vlogs,Mobile,Afternoon,US,Sat,0.6364,0.1978,0.25,6,2,1,5,0,1,1,1,2,-0.8393,56,1
V00188,Vlogs,Mobile,Evening,AU,Sat,0.917,0.0854,0.2478,4,0,0,5,0,1,1,0,4,-0.7457,183,1
V00189,Education,Mobile,Evening,US,Fri,0.69,0.4974,0.1994,13,0,2,20,0,0,1,0,4,0.3504,284,1
V00190,Gaming,TV,Evening,CA,Sun,0.4472,-0.043,0.1359,17,7,0,8,1,0,1,1,3,1.2776,324,0
V00191,Tech Reviews,Mobile,Evening,US,Sat,0.6752,0.4946,0.2241,7,2,1,10,0,0,1,1,1,0.874,333,1
V00192,Comedy,Desktop,Evening,BR,Sat,0.5072,-0.0388,0.0507,16,1,0,15,1,1,1,1,5,-1.3235,341,1
V00193,Music,Mobile,Afternoon,US,Sun,0.5819,0.1803,0.1834,2,0,1,45,0,0,1,0,2,1.3938,306,1
V00194,Education,Mobile,Night,PH,Sun,0.8259,0.5141,0.25,5,2,0,8,1,0,1,1,6,1.0174,210,1
V00195,Education,Mobile,Evening,AU,Fri,0.7647,0.0126,0.25,4,2,1,20,0,1,1,1,4,0.4716,244,0
V00196,Music,Tablet,Morning,BR,Thu,0.7305,0.5272,0.1074,10,2,1,12,1,0,1,1,2,-1.1322,172,1
V00197,Tech Reviews,Desktop,Night,IN,Sat,0.3624,0.4901,0.1865,4,2,2,5,0,0,1,1,5,-0.9036,232,1
V00198,Tech Reviews,Tablet,Night,CA,Wed,0.9235,0.177,0.25,8,3,0,8,0,0,1,1,6,-0.7671,245,1
V00199,Tech Reviews,Mobile,Night,UK,Wed,0.6499,0.7215,0.1864,16,0,1,15,0,0,1,0,4,-0.536,216,1
V00200,Music,Desktop,Afternoon,US,Tue,0.7765,0.3096,0.1388,8,1,0,30,0,0,1,1,3,0.1924,246,0
V00201,Gaming,Desktop,Morning,UK,Sat,0.3939,0.6989,0.2338,10,1,1,3,0,0,1,1,4,-2.7286,150,0
V00202,Gaming,Mobile,Evening,US,Sun,0.9164,0.9615,0.0887,2,2,1,8,1,0,1,1,5,-1.2831,208,1
V00203,Tech Reviews,TV,Morning,BR,Sat,0.6268,0.1883,0.25,5,0,0,10,0,1,1,0,3,-0.2299,294,1
V00204,Music,Tablet,Night,US,Sun,0.8518,0.5251,0.25,13,0,1,60,1,0,1,0,4,0.9855,87,1
V00205,Gaming,TV,Afternoon,IN,Mon,0.6232,0.0377,0.25,7,3,2,15,1,0,1,1,5,-0.3063,253,1
